,oscar_winning_movies
398,Jurassic Park (film)
399,Philadelphia (film)
400,The Fugitive (1993 film)
401,The Age of Innocence (1993 film)
402,The Wrong Trousers
403,Belle Epoque (film)
404,I Am a Promise: The Children of Stanton Elementary School
405,Mrs. Doubtfire
406,Schwarzfahrer
407,Defending Our Lives
408,Unforgiven
409,Howards End (film)
410,Bram Stoker's Dracula (1992 film)
411,Aladdin (1992 Disney film)
412,The Crying Game
413,Scent of a Woman (1992 film)
414,A River Runs Through It (film)
415,Indochine (film)
416,My Cousin Vinny
417,The Panama Deception
418,Educating Peter
419,The Last of the Mohicans (1992 film)
420,Death Becomes Her
421,Omnibus (film)
422,Mona Lisa Descending a Staircase
423,The Silence of the Lambs (film)
424,Terminator 2: Judgment Day
425,Bugsy
426,JFK (film)
427,Beauty and the Beast (1991 film)
428,Thelma & Louise
429,The Fisher King
430,In the Shadow of the Stars
431,Manipulation (film)
432,Mediterraneo
433,Session Man (film)
434,City Slickers
435,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment"
436,Dances with Wolves
437,Dick Tracy (1990 film)
438,Ghost (1990 film)
439,Goodfellas
440,The Hunt for Red October (film)
441,Reversal of Fortune
442,Cyrano de Bergerac (1990 film)
443,American Dream (film)
444,Journey of Hope (film)
445,Days of Waiting: The Life & Art of Estelle Ishigo
446,Creature Comforts
447,The Lunch Date
448,Misery (film)
449,Total Recall (1990 film)
450,Driving Miss Daisy
451,Glory (1989 film)
452,Born on the Fourth of July (film)
453,My Left Foot
454,The Little Mermaid (1989 film)
455,Dead Poets Society
456,The Abyss
457,Indiana Jones and the Last Crusade
458,Henry V (1989 film)
459,The Johnstown Flood (1989 film)
460,Common Threads: Stories from the Quilt
461,Cinema Paradiso
462,Work Experience (film)
463,Batman (1989 film)
464,Balance (1989 film)
465,Rain Man
466,Dangerous Liaisons
467,Who Framed Roger Rabbit
468,Mississippi Burning
469,Working Girl
470,The Accidental Tourist (film)
471,A Fish Called Wanda
472,Pelle the Conqueror
473,The Accused (1988 film)
474,The Appointments of Dennis Jennings
475,Beetlejuice
476,Bird (1988 film)
477,Hôtel Terminus: The Life and Times of Klaus Barbie
478,The Milagro Beanfield War
479,Tin Toy
480,You Don't Have to Die
481,The Last Emperor
482,Moonstruck
483,The Untouchables (film)
484,Babette's Feast
485,Dirty Dancing
486,Harry and the Hendersons
487,Innerspace
488,The Man Who Planted Trees (film)
489,Ray's Male Heterosexual Dance Hall
490,The Ten-Year Lunch
491,Wall Street (1987 film)
492,Young at Heart (1987 film)
493,RoboCop
494,Platoon (film)
495,A Room with a View (1985 film)
496,Hannah and Her Sisters
497,Aliens (film)
498,The Mission (1986 film)
499,Children of a Lesser God (film)
500,The Color of Money
501,Top Gun
502,Round Midnight (film)
503,Artie Shaw: Time Is All You've Got
504,The Assault (1986 film)
505,Down and Out in America
506,The Fly (1986 film)
507,A Greek Tragedy
508,Precious Images
509,"Women – for America, for the World"
510,Out of Africa (film)
511,Witness (1985 film)
512,Cocoon (film)
513,Prizzi's Honor
514,Back to the Future
515,Kiss of the Spider Woman (film)
516,Ran (film)
517,The Official Story
518,The Trip to Bountiful
519,White Nights (1985 film)
520,Anna & Bella
521,Broken Rainbow (film)
522,Mask (1985 film)
523,Molly's Pilgrim
524,Witness to War: Dr. Charlie Clements
525,Amadeus (film)
526,The Killing Fields (film)
527,A Passage to India (film)
528,Places in the Heart
529,Indiana Jones and the Temple of Doom
